City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,ovruch,51.3246,28.8035,283.69,65,49,2.75,UA,1715317864
83,buctzotz,21.2,-88.7833,299.47,81,26,3.2,MX,1715317864
84,tiksi,71.6872,128.8694,271.53,91,100,3.43,RU,1715317740
85,chibougamau,49.9168,-74.3659,275.9,70,9,2.03,CA,1715317865
86,saipan,15.1355,145.701,305.54,62,40,5.66,MP,1715317865
87,chudniv,50.052,28.1175,283.44,72,48,2.45,UA,1715317865
88,katsuura,35.1333,140.3,291.63,45,0,6.16,JP,1715317866
89,san borja,-14.8167,-66.85,295.54,98,100,1.27,BO,1715317866
90,revda,56.801,59.9303,276.18,43,60,6.81,RU,1715317866
91,bamboo flat,11.7,92.7167,307.2,59,40,3.09,IN,1715317867
92,toktogul,41.8708,72.9402,294.5,56,97,2.34,KG,1715317867
93,jamestown,42.097,-79.2353,283.92,100,100,3.09,US,1715317868
94,coquimbo,-29.9533,-71.3436,286.19,80,20,1.24,CL,1715317868
95,kristinestad,62.2743,21.376,278.2,72,49,7.71,FI,1715317869
96,la passe,45.5549,-0.8967,286.16,89,16,3.61,FR,1715317869
97,colonia,50.9333,6.95,284.8,90,0,0.51,DE,1715317797
98,alenquer,-1.9417,-54.7383,297.31,96,94,1.47,BR,1715317870
99,yemetsk,63.4721,41.7941,272.59,85,100,4.41,RU,1715317870
100,oranjemund,-28.55,16.4333,284.56,90,0,1.75,NA,1715317844
101,utrik,11.2278,169.8474,300.32,84,87,8.82,MH,1715317871
102,wagar,16.1525,36.2032,302.6,46,4,1.77,SD,1715317871
103,kunshan,31.3776,120.9543,299.09,39,1,5.66,CN,1715317871
104,san antonio de pale,-1.4014,5.6325,299.94,87,100,5.87,GQ,1715317872
105,taulaga,-11.0553,-171.0883,302.52,72,100,3.25,AS,1715317872
106,gilgit,35.9221,74.3087,294.05,29,12,0.92,PK,1715317872
107,hotan,37.0997,79.9269,305.51,8,20,8.82,CN,1715317873
108,novouzensk,50.4592,48.1431,280.44,40,17,4.19,RU,1715317873
109,sanctuary point,-35.1114,150.629,293.01,85,96,4.24,AU,1715317873
110,ust-nera,64.5667,143.2,279.3,63,100,1.79,RU,1715317873
111,el hadjira,32.6134,5.5126,292.32,29,97,1.37,DZ,1715317874
112,alice,27.7523,-98.0697,300.84,94,100,3.6,US,1715317874
113,vilyuysk,63.7553,121.6247,272.59,50,100,4.02,RU,1715317874
114,ilulissat,69.2167,-51.1,267.16,58,65,0.0,GL,1715317875
115,ushuaia,-54.8,-68.3,270.28,91,54,1.62,AR,1715317875
116,saryozek,44.3583,77.9753,300.96,15,3,7.03,KZ,1715317875
117,hithadhoo,-0.6,73.0833,302.08,77,25,3.83,MV,1715317876
118,anadyr,64.75,177.4833,269.43,68,75,2.0,RU,1715317876
119,aykhal,66.0,111.5,266.89,80,100,5.82,RU,1715317876
120,kirensk,57.7853,108.1119,281.46,38,60,3.58,RU,1715317877
121,taourirt,34.4073,-2.8973,288.0,77,34,1.24,MA,1715317877
122,tura,25.5198,90.2201,304.66,40,59,2.19,IN,1715317877
123,papao,-17.75,-149.55,300.97,73,4,1.86,PF,1715317878
124,parauapebas,-6.0675,-49.9022,296.79,95,100,0.76,BR,1715317878
125,kardla,58.9978,22.7492,279.14,100,100,5.66,EE,1715317878
126,new norfolk,-42.7826,147.0587,287.99,84,99,1.26,AU,1715317879
127,bryne,58.7354,5.6477,280.5,92,75,3.6,NO,1715317880
128,ancud,-41.8697,-73.8203,281.55,80,81,2.32,CL,1715317880
129,posse,-14.0931,-46.3694,291.96,41,3,2.34,BR,1715317881
130,marsala,37.7966,12.4352,289.78,91,18,5.23,IT,1715317881
131,igarka,67.4667,86.5833,272.6,99,96,5.81,RU,1715317881
132,san patricio,28.017,-97.5169,301.12,86,0,3.01,US,1715317882
133,usinsk,65.9939,57.5281,272.08,97,100,1.34,RU,1715317882
134,pundong,-7.9522,110.3486,304.41,65,31,3.13,ID,1715317883
135,nemuro,43.3236,145.575,281.05,82,59,3.23,JP,1715317883
136,badger,64.8,-147.5333,281.08,74,75,3.09,US,1715317883
137,sitka,57.0531,-135.33,281.09,93,100,4.12,US,1715317884
138,kindu,-2.95,25.95,295.14,99,100,0.16,CD,1715317884
139,mazagao,-0.115,-51.2894,300.18,98,98,1.76,BR,1715317884
140,santa cruz,-17.8,-63.1667,291.85,94,20,1.03,BO,1715317885
141,manokwari,-0.8667,134.0833,301.03,80,99,3.63,ID,1715317885
142,rongelap,11.1635,166.8941,300.44,80,65,8.01,MH,1715317886
143,coronel dorrego,-38.7187,-61.2873,282.7,52,57,6.01,AR,1715317886
144,olonkinbyen,70.9221,-8.7187,270.82,77,50,7.51,SJ,1715317824
145,talnakh,69.4865,88.3972,267.71,76,4,1.11,RU,1715317734
146,kapa'a,22.0752,-159.319,299.14,84,40,3.6,US,1715317887
147,jwaneng,-24.6004,24.7303,286.09,33,0,3.52,BW,1715317888
148,ola,59.5833,151.2833,277.12,81,37,3.82,RU,1715317888
149,sao vicente,-23.9631,-46.3919,298.86,26,78,1.46,BR,1715317888
150,kiama,-34.6833,150.8667,293.15,88,98,0.89,AU,1715317889
151,bumba,2.1833,22.4667,296.26,94,100,1.02,CD,1715317889
152,lucea,18.451,-78.1736,300.29,82,86,0.78,JM,1715317890
153,sinabang,2.4803,96.3801,302.95,75,100,1.36,ID,1715317890
154,enewetak,11.3474,162.3373,300.78,78,96,7.47,MH,1715317868
155,qaqortoq,60.7167,-46.0333,273.98,75,100,0.95,GL,1715317761
156,ondjiva,-17.0667,15.7333,287.74,36,0,2.84,AO,1715317891
157,isla mujeres,21.2311,-86.731,301.18,87,33,6.01,MX,1715317891
158,weno,7.4515,151.8468,304.12,79,100,4.63,FM,1715317892
159,scarborough,54.2797,-0.4044,285.46,88,100,2.08,GB,1715317892
160,namibe,-15.1961,12.1522,295.86,71,8,4.0,AO,1715317892
161,cockburn town,21.4612,-71.1419,298.63,83,2,5.86,TC,1715317834
162,ijmuiden,52.4573,4.6111,284.2,92,58,1.79,NL,1715317893
163,uturoa,-16.7333,-151.4333,301.01,71,17,4.01,PF,1715317893
164,santiago de cao,-7.9589,-79.2392,290.22,94,75,5.14,PE,1715317894
165,west island,-12.1568,96.8225,301.14,74,100,9.26,CC,1715317894
166,kayangel,8.0823,134.7173,300.85,81,99,2.22,PW,1715317894
167,kisesa,-3.0833,34.15,291.42,86,81,3.0,TZ,1715317895
168,atherton,53.5237,-2.4935,285.79,88,100,0.54,GB,1715317895
169,rodolfo sanchez taboada,31.7167,-116.5667,287.65,70,31,0.45,MX,1715317895
170,port elizabeth,-33.918,25.5701,288.32,97,3,2.24,ZA,1715317805
171,vilyuchinsk,52.9306,158.4028,280.3,63,44,3.8,RU,1715317896
172,nova sintra,14.8667,-24.7167,296.91,78,35,9.35,CV,1715317896
173,kirakira,-10.4544,161.9205,300.81,76,66,4.48,SB,1715317897
174,okha,53.5739,142.9478,276.62,93,100,2.68,RU,1715317897
175,gobabis,-22.45,18.9667,288.71,33,0,4.36,NA,1715317897
176,rembangan,-6.7036,111.3416,305.02,58,44,4.49,ID,1715317898
177,hadibu,12.65,54.0333,302.55,66,61,0.44,YE,1715317783
178,georgetown,5.4112,100.3354,307.11,62,20,1.54,MY,1715317725
179,richards bay,-28.783,32.0377,291.98,72,0,4.0,ZA,1715317899
180,penzance,50.1186,-5.5371,285.24,85,100,5.44,GB,1715317899
181,wynyard,-41.0,145.7167,289.17,74,100,5.56,AU,1715317900
182,nuporanga,-20.7308,-47.7306,291.92,71,1,1.91,BR,1715317900
183,glace bay,46.1969,-59.957,277.36,97,100,5.66,CA,1715317888
184,laurel,39.0993,-76.8483,289.24,89,75,4.63,US,1715317900
185,prieska,-29.6641,22.7474,296.15,28,55,6.54,ZA,1715317901
186,nantucket,41.2835,-70.0995,282.18,93,75,5.14,US,1715317901
187,flying fish cove,-10.4217,105.6791,300.97,83,100,6.17,CX,1715317901
188,tannum sands,-23.9504,151.3693,298.57,53,75,6.17,AU,1715317902
189,leer,53.2316,7.461,282.67,96,35,1.28,DE,1715317902
190,certaldo,43.547,11.0402,289.38,83,32,1.88,IT,1715317902
191,plettenberg bay,-34.0527,23.3716,285.75,88,0,2.55,ZA,1715317903
192,port augusta,-32.5,137.7667,294.88,33,0,6.53,AU,1715317903
193,plainview,40.7765,-73.4673,286.34,79,100,7.2,US,1715317904
194,ubatuba,-23.4339,-45.0711,292.95,90,31,1.23,BR,1715317904
195,kayenta,36.7278,-110.2546,283.55,29,19,2.68,US,1715317904
196,zeya,53.75,127.2667,287.86,29,95,1.48,RU,1715317905
197,colchani,-20.3,-66.9333,280.82,37,9,3.3,BO,1715317905
198,lompoc,34.6391,-120.4579,287.0,88,0,2.57,US,1715317787
199,mount gambier,-37.8333,140.7667,288.99,75,94,4.02,AU,1715317826
200,slyudyanka,51.6594,103.7061,283.32,55,77,6.65,RU,1715317906
201,la foa,-21.7108,165.8276,296.02,55,44,5.98,NC,1715317906
202,luderitz,-26.6481,15.1594,285.89,83,0,4.41,NA,1715317906
203,okhotsk,59.3833,143.3,273.66,94,100,7.79,RU,1715317907
204,el fasher,13.6279,25.3494,299.0,13,82,2.21,SD,1715317907
205,tazacorte,28.629,-17.9293,292.69,80,0,5.66,ES,1715317907
206,fray luis beltran,-39.3167,-65.7667,282.57,44,41,5.41,AR,1715317908
207,yabelo,4.8833,38.0833,289.83,86,96,4.34,ET,1715317908
208,linqiong,30.4159,103.4609,294.07,78,100,1.04,CN,1715317908
209,dyersburg,36.0345,-89.3856,294.23,60,0,4.12,US,1715317909
210,isla vista,34.4133,-119.861,288.61,85,0,0.0,US,1715317909
211,kiunga,-6.1219,141.2906,299.51,91,99,0.76,PG,1715317909
212,lata,40.1629,-8.3327,286.52,69,74,0.87,PT,1715317721
213,urengoy,65.9667,78.3667,274.27,99,100,9.8,RU,1715317910
214,minas de marcona,-15.2119,-75.1103,285.74,89,60,4.73,PE,1715317910
215,avarua,-21.2078,-159.775,300.18,94,75,4.12,CK,1715317911
216,port saint john's,-31.6229,29.5448,294.45,47,6,2.83,ZA,1715317911
217,mao,39.8885,4.2658,287.46,88,0,3.6,ES,1715317911
218,smithers,54.7804,-127.1743,291.33,36,100,1.03,CA,1715317912
219,afaahiti,-17.75,-149.2833,300.08,79,21,3.9,PF,1715317912
220,cadale,2.7603,46.3222,301.65,71,88,6.67,SO,1715317912
221,daru,-9.0763,143.2092,299.77,87,91,5.92,PG,1715317913
222,praia da vitoria,38.7333,-27.0667,289.13,92,52,1.82,PT,1715317913
223,cabo san lucas,22.8909,-109.9124,296.82,62,4,4.56,MX,1715317828
224,alpine,32.835,-116.7664,287.41,84,0,2.06,US,1715317914
225,kenai,60.5544,-151.2583,277.2,70,0,4.12,US,1715317914
226,sao paulo de olivenca,-3.3783,-68.8725,296.34,98,58,0.95,BR,1715317914
227,poronaysk,49.2167,143.1167,284.05,57,95,1.92,RU,1715317915
228,ameca,20.55,-104.0333,294.72,35,2,2.33,MX,1715317915
229,yuzhno-kurilsk,44.0306,145.8556,285.03,64,47,2.8,RU,1715317915
230,santa isabel,-23.3156,-46.2214,294.76,91,98,0.68,BR,1715317916
231,punta de bombon,-17.1717,-71.7931,291.51,80,43,2.43,PE,1715317916
232,hailar,49.2,119.7,283.77,62,100,9.49,CN,1715317916
233,preobrazheniye,42.9019,133.9064,287.0,73,99,2.1,RU,1715317917
234,macapa,0.0389,-51.0664,300.14,89,75,1.54,BR,1715317917
235,dali,25.7,100.1833,295.69,39,40,4.56,CN,1715317917
236,vorgashor,67.5833,63.95,270.82,74,100,8.8,RU,1715317918
